index,date,ERROR_ID,STACK_ERROR_UNDER,CELL_ERROR_UNDER,MIN_CELL_VOLTAGE,5,6,7,8
433,1765225562886,0,2,1,3.28,0,0,0,0
434,1765225564870,0,2,1,3.28,0,0,0,0
435,1765225570168,0,2,1,3.28,0,0,0,0
436,1765225572785,0,2,1,3.28,0,0,0,0
437,1765225573435,0,2,1,3.28,0,0,0,0
438,1765225576052,0,2,1,3.28,0,0,0,0
439,1765225576719,0,2,1,3.28,0,0,0,0
440,1765225579318,0,2,1,3.28,0,0,0,0
441,1765225579988,0,2,1,3.28,0,0,0,0
442,1765225586869,0,2,1,3.28,0,0,0,0
443,1765225590401,0,2,1,3.28,0,0,0,0
444,1765225594018,0,2,1,3.28,0,0,0,0
445,1765225595886,0,2,1,3.28,0,0,0,0
446,1765225599601,0,4,1,3.28,0,0,0,0
447,1765225602967,0,2,1,3.28,0,0,0,0
448,1765225608217,0,4,1,3.28,0,0,0,0
449,1765225613250,2,2,3,2.18,0,0,0,0
450,1765225614869,2,2,1,3.26,0,0,0,0
451,1765225615018,2,2,1,3.27,0,0,0,0
452,1765225615034,2,2,1,3.27,0,0,0,0
453,1765225616600,2,2,1,3.27,0,0,0,0
454,1765225616769,2,2,1,3.27,0,0,0,0
455,1765225618318,2,2,1,3.27,0,0,0,0
456,1765225620135,2,2,1,3.27,0,0,0,0
457,1765225621699,2,2,1,3.27,0,0,0,0
458,1765225621832,2,2,1,3.27,0,0,0,0
459,1765225623465,2,2,1,3.27,0,0,0,0
460,1765225623650,2,2,1,3.27,0,0,0,0
461,1765225625234,2,2,1,3.27,0,0,0,0
462,1765225627084,2,2,1,3.27,0,0,0,0
463,1765225627249,2,2,1,3.28,0,0,0,0
464,1765225628851,2,2,1,3.28,0,0,0,0
465,1765225630733,2,2,1,3.28,0,0,0,0
466,1765225630900,2,2,1,3.28,0,0,0,0
467,1765225632551,2,2,1,3.28,0,0,0,0
468,1765225632782,2,2,1,3.28,0,0,0,0
469,1765225634383,2,2,1,3.28,0,0,0,0
470,1765225634383,2,2,1,3.28,0,0,0,0
471,1765225634550,2,2,1,3.28,0,0,0,0
472,1765225636166,2,2,1,3.28,0,0,0,0
473,1765225637868,2,2,1,3.28,0,0,0,0
474,1765225639434,2,2,1,3.28,0,0,0,0
475,1765225639500,2,2,1,3.28,0,0,0,0
476,1765225639651,2,2,1,3.28,0,0,0,0
477,1765225641116,2,2,1,3.28,0,0,0,0
478,1765225641184,2,2,1,3.28,0,0,0,0
479,1765225642968,2,2,1,3.28,0,0,0,0
480,1765225644466,2,2,1,3.28,0,0,0,0
481,1765225644650,2,2,1,3.28,0,0,0,0
482,1765225644717,2,2,1,3.28,0,0,0,0
483,1765225646268,2,2,1,3.28,0,0,0,0
484,1765225646316,2,2,1,3.28,0,0,0,0
485,1765225646415,2,2,1,3.28,0,0,0,0
486,1765225646449,2,2,1,3.28,0,0,0,0
487,1765225648085,2,2,1,3.28,0,0,0,0
488,1765225648283,2,2,1,3.28,0,0,0,0
489,1765225649815,2,2,1,3.28,0,0,0,0
490,1765225651635,2,2,1,3.28,0,0,0,0
491,1765225653469,2,2,1,3.28,0,0,0,0
492,1765225655185,2,2,1,3.28,0,0,0,0
493,1765225656749,2,2,1,3.28,0,0,0,0
494,1765225656902,2,4,1,3.28,0,0,0,0
495,1765225658552,2,2,1,3.28,0,0,0,0
496,1765225660249,2,2,1,3.28,0,0,0,0
497,1765225660318,2,2,1,3.28,0,0,0,0
498,1765225662133,2,2,1,3.28,0,0,0,0
499,1765225664018,2,4,1,3.28,0,0,0,0
500,1765225664389,2,4,1,3.28,0,0,0,0
501,1765225665767,2,2,1,3.28,0,0,0,0
502,1765225665816,2,2,1,3.28,0,0,0,0
503,1765225666033,2,4,1,3.28,0,0,0,0
504,1765225674700,0,4,1,3.28,0,0,0,0
505,1765225676417,0,2,1,3.28,0,0,0,0
506,1765225690799,0,2,1,3.28,0,0,0,0
507,1765225694249,0,4,1,3.28,0,0,0,0
508,1765225697566,0,4,1,3.28,0,0,0,0
509,1765225702852,0,4,1,3.28,0,0,0,0
510,1765225706169,0,4,1,3.28,0,0,0,0
511,1765225714782,0,4,1,3.28,0,0,0,0
512,1765225721829,0,4,3,3.15,0,0,0,0
513,1765225723516,0,2,1,3.28,0,0,0,0
514,1765225730201,0,4,3,3.1,0,0,0,0
515,1765225736783,0,4,3,3.09,0,0,0,0
516,1765225741782,0,2,1,3.26,0,0,0,0
517,1765225748616,0,4,3,2.94,0,0,0,0
518,1765225750348,0,1,3,3.25,0,0,0,0
519,1765225755850,0,2,3,2.97,0,0,0,0
520,1765225764100,0,2,3,3.08,0,0,0,0
521,1765225765784,0,4,3,2.76,0,0,0,0
522,1765225775848,0,1,3,3.23,0,0,0,0
523,1765225779165,0,4,3,3,0,0,0,0
524,1765225780899,0,4,3,2.66,0,0,0,0
525,1765225786100,0,4,3,3.04,0,0,0,0
526,1765225787848,0,1,3,3.23,0,0,0,0
527,1765225794799,0,4,3,3.05,0,0,0,0
528,1765225798232,0,4,3,3.04,0,0,0,0
529,1765225799951,0,4,3,2.99,0,0,0,0
530,1765225804832,0,1,3,3.23,0,0,0,0
531,1765225806516,0,4,3,3.18,0,0,0,0
532,1765225813233,0,1,3,3.23,0,0,0,0
533,1765225816615,0,4,3,2.77,0,0,0,0
534,1765225827032,0,4,3,2.92,0,0,0,0
535,1765225830298,0,4,3,2.67,0,0,0,0
536,1765225833631,0,1,3,3.21,0,0,0,0
537,1765225835247,0,4,3,2.71,0,0,0,0
538,1765225840265,0,4,3,2.71,0,0,0,0
539,1765225841797,0,4,3,2.68,0,0,0,0
540,1765225845284,0,4,3,3.09,0,0,0,0
541,1765225848582,0,4,3,2.62,0,0,0,0
542,1765225852100,0,1,3,3.21,0,0,0,0
543,1765225855716,0,1,3,3.22,0,0,0,0
544,1765225857567,0,1,3,3.21,0,0,0,0
545,1765225867665,0,1,3,3.24,0,0,0,0
546,1765225870933,0,4,3,3.07,0,0,0,0
547,1765225872714,0,1,3,3.24,0,0,0,0
