index,date,REGEN_BRAKE_STATE,1,2,3,4,5,6,7
817,1765218868407,0,0,0,0,0,0,0,0
818,1765218868758,0,0,0,0,0,0,0,0
819,1765218869140,0,0,0,0,0,0,0,0
820,1765218869455,0,0,0,0,0,0,0,0
821,1765218869588,0,0,0,0,0,0,0,0
822,1765218869874,0,0,0,0,0,0,0,0
823,1765218870290,0,0,0,0,0,0,0,0
824,1765218870607,0,0,0,0,0,0,0,0
825,1765218871040,0,0,0,0,0,0,0,0
826,1765218871339,0,0,0,0,0,0,0,0
827,1765218871457,0,0,0,0,0,0,0,0
828,1765218871739,0,0,0,0,0,0,0,0
829,1765218872190,0,0,0,0,0,0,0,0
830,1765218872474,0,0,0,0,0,0,0,0
831,1765218872891,0,0,0,0,0,0,0,0
832,1765218873174,0,0,0,0,0,0,0,0
833,1765218873307,0,0,0,0,0,0,0,0
834,1765218873589,0,0,0,0,0,0,0,0
835,1765218874024,0,0,0,0,0,0,0,0
836,1765218874309,0,0,0,0,0,0,0,0
837,1765218874740,0,0,0,0,0,0,0,0
838,1765218875022,0,0,0,0,0,0,0,0
839,1765218875473,0,0,0,0,0,0,0,0
840,1765218875890,0,0,0,0,0,0,0,0
841,1765218876207,0,0,0,0,0,0,0,0
842,1765218876624,0,0,0,0,0,0,0,0
843,1765218876891,0,0,0,0,0,0,0,0
844,1765218877340,0,0,0,0,0,0,0,0
845,1765218877640,0,0,0,0,0,0,0,0
846,1765218877757,0,0,0,0,0,0,0,0
847,1765218878074,0,0,0,0,0,0,0,0
848,1765218878474,0,0,0,0,0,0,0,0
849,1765218878808,0,0,0,0,0,0,0,0
850,1765218878940,0,0,0,0,0,0,0,0
851,1765218879224,0,0,0,0,0,0,0,0
852,1765218879507,0,0,0,0,0,0,0,0
853,1765218879607,0,0,0,0,0,0,0,0
854,1765218879924,0,0,0,0,0,0,0,0
855,1765218880340,0,0,0,0,0,0,0,0
856,1765218880673,0,0,0,0,0,0,0,0
857,1765218880806,0,0,0,0,0,0,0,0
858,1765218881091,0,0,0,0,0,0,0,0
859,1765218881557,0,0,0,0,0,0,0,0
860,1765218881840,0,0,0,0,0,0,0,0
861,1765218882291,0,0,0,0,0,0,0,0
862,1765218882724,0,0,0,0,0,0,0,0
