index,date,ECU_MODE
557,1782580811696,1
558,1782580812129,1
559,1782580812730,1
560,1782580813045,1
561,1782580813662,1
562,1782580814078,1
563,1782580814727,1
564,1782580814961,1
565,1782580815244,1
566,1782580816309,1
567,1782580817292,1
568,1782580817875,1
569,1782580818308,1
570,1782580818907,1
571,1782580820872,1
572,1782580821855,1
573,1782580822238,1
574,1782580822371,1
575,1782580822805,1
576,1782580823437,1
577,1782580823836,1
578,1782580825002,1
579,1782580825601,1
580,1782580826002,1
581,1782580828183,1
582,1782580829182,1
583,1782580829531,1
584,1782580830064,1
585,1782580831081,1
586,1782580831696,1
587,1782580832629,1
588,1782580833712,1
589,1782580834627,1
590,1782580835660,1
591,1782580836709,1
592,1782580837175,1
593,1782580838174,1
594,1782580840156,1
595,1782580841105,1
596,1782580841539,1
597,1782580841705,1
598,1782580842021,1
599,1782580842638,1
600,1782580843070,1
601,1782580843803,1
602,1782580844053,1
603,1782580844353,1
604,1782580845418,1
605,1782580847317,1
606,1782580848315,1
607,1782580849881,1
608,1782580850980,1
609,1782580851313,1
610,1782580852812,1
611,1782580853195,1
612,1782580854677,1
613,1782580855693,1
614,1782580856026,1
615,1782580857009,0
616,1782580857541,0
617,1782580898991,1
618,1782580899824,1
619,1782580900642,1
620,1782580900709,1
621,1782580901491,1
622,1782580902340,1
623,1782580905504,1
624,1782580905886,1
625,1782580906136,1
626,1782580906452,1
627,1782580906868,1
628,1782580907151,1
629,1782580907234,1
630,1782580907634,1
631,1782580907934,1
632,1782580908234,1
633,1782580908551,1
634,1782580908883,1
635,1782580909749,1
636,1782580911547,1
637,1782580911847,1
638,1782580912697,1
639,1782580913064,1
640,1782581235440,1
641,1782581235806,1
642,1782581236772,1
643,1782581237355,1
644,1782581237772,1
645,1782581238371,1
646,1782581238737,1
647,1782581239254,1
648,1782581240269,1
649,1782581242184,1
650,1782581242567,1
651,1782581243500,1
652,1782581244399,1
653,1782581245748,1
654,1782581246098,1
655,1782581246215,1
656,1782581246564,1
657,1782581247563,1
658,1782581249578,1
659,1782581250994,1
660,1782581251127,1
661,1782581252193,1
662,1782581252776,1
663,1782581253241,1
664,1782581253725,1
665,1782581254124,1
666,1782581254757,1
667,1782581255157,1
668,1782581256622,1
669,1782581257705,1
670,1782581258121,1
671,1782581258321,1
672,1782581258653,1
673,1782581259220,1
674,1782581259703,1
675,1782581260270,1
676,1782581260519,1
677,1782581260819,1
678,1782581261268,1
679,1782581261918,1
680,1782581262900,1
681,1782581263500,1
682,1782581264566,1
683,1782581266064,1
684,1782581266481,1
685,1782581267563,1
686,1782581267913,1
687,1782581267979,1
688,1782581268396,1
689,1782581269379,1
690,1782581270582,1
691,1782581271559,1
692,1782581271975,1
693,1782581273708,1
694,1782581274691,1
695,1782581275057,1
696,1782581275606,1
697,1782581276039,1
698,1782581276622,1
699,1782581277055,1
700,1782581278537,1
701,1782581279520,1
702,1782581279919,1
703,1782581281518,1
704,1782581282167,1
705,1782581283083,1
706,1782581284149,1
707,1782581285747,1
708,1782581286796,1
709,1782581287447,1
710,1782581288395,1
711,1782581289428,1
712,1782581289728,1
713,1782581289878,1
714,1782581290976,1
715,1782581291992,1
716,1782581292609,1
717,1782581293658,1
718,1782581294324,1
719,1782581295290,1
720,1782581296238,1
721,1782581297504,1
722,1782581298071,1
723,1782581298504,1
724,1782581300735,1
725,1782581301435,1
726,1782581302017,1
727,1782581303649,1
728,1782581304299,1
729,1782581305248,1
730,1782581306247,1
731,1782581306565,1
732,1782581308229,1
733,1782581309844,1
734,1782581311310,1
735,1782581311494,1
736,1782581311827,1
737,1782581312925,1
738,1782581314573,1
739,1782581315208,1
740,1782581315906,1
741,1782581316238,1
742,1782581316806,1
743,1782581317470,1
744,1782581317854,1
745,1782581319420,1
746,1782581320119,1
747,1782581322100,1
748,1782581323083,1
749,1782581323932,1
750,1782581325331,1
751,1782581325697,1
752,1782581326163,1
753,1782581327179,1
754,1782581328195,1
755,1782581329161,1
756,1782581330077,1
757,1782581332708,1
758,1782581333408,1
759,1782581334356,1
760,1782581335390,1
761,1782581335689,1
762,1782581335872,1
