index,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
620,1010,8096,-234,0,0,0,0,0
621,983,8081,-206,0,0,0,0,0
622,983,8090,-210,412,0,0,0,0
623,1003,8092,-217,0,0,0,0,0
624,1005,8078,-238,0,0,0,0,0
625,988,8093,-204,0,0,0,0,0
626,986,8084,-210,0,0,0,0,0
627,1003,8090,-222,0,0,0,0,0
628,1000,8092,-226,0,0,0,0,0
629,1000,8095,-223,3,0,0,0,0
630,992,8092,-226,0,0,0,0,0
631,990,8082,-228,0,0,0,0,0
632,958,8087,-295,0,0,0,0,0
633,970,8085,-210,0,0,0,0,0
634,1057,8098,1166,0,0,0,0,0
635,848,7764,1418,0,0,0,0,0
636,1469,8692,1014,0,0,0,0,0
637,1070,8403,148,995,0,0,0,0
638,761,7699,137,0,0,0,0,0
639,1172,7857,-13,172,0,0,0,0
640,976,8322,226,0,0,0,0,0
641,859,8288,140,0,0,0,0,0
642,1169,8132,423,0,0,0,0,0
643,1004,7748,144,0,0,0,0,0
644,939,8102,274,0,0,0,0,0
645,978,8234,313,0,0,0,0,0
646,1076,8054,367,0,0,0,0,0
647,1042,8106,365,0,0,0,0,0
648,1037,7992,192,0,0,0,0,0
649,986,8069,276,0,0,0,0,0
650,950,7842,478,0,0,0,0,0
651,947,8059,575,0,0,0,0,0
652,1355,8251,1408,967,0,0,0,0
653,584,8144,564,0,0,0,0,0
654,1110,7909,1090,0,0,0,0,0
655,1224,8017,1355,0,0,0,0,0
656,727,8118,203,1134,0,0,0,0
657,850,7883,1234,0,0,0,0,0
658,1224,8281,1336,212,0,0,0,0
659,841,8116,1127,0,0,0,0,0
660,940,7977,1161,777,0,0,0,0
661,978,8179,634,0,0,0,0,0
662,953,8073,1018,0,0,0,0,0
663,1029,7902,1097,0,0,0,0,0
664,865,8145,332,0,0,0,0,0
665,594,8092,1663,0,0,0,0,0
666,624,9021,1454,0,0,0,0,0
667,1364,7555,284,0,0,0,0,0
668,1210,7586,484,0,0,0,0,0
669,690,8051,1331,0,0,0,0,0
670,1160,8031,684,0,0,0,0,0
671,1036,8216,-343,0,0,0,0,0
672,1209,7606,305,0,0,0,0,0
673,827,8149,619,0,0,0,0,0
674,961,7753,186,0,0,0,0,0
675,1010,7650,639,0,0,0,0,0
