index,date,GYRO_X,GYRO_Y,GYRO_Z,1,2,3,4,5
315,1764701008058,14,-16,3,0,0,0,0,0
316,1764701008225,10,-34,-2,0,0,0,0,0
317,1764701008325,1,-2,-3,0,0,0,0,0
318,1764701008858,3,-2,0,0,0,0,0,0
319,1764701357570,58,15,3,0,0,0,0,0
320,1764701357691,-53,10,5,0,0,0,0,0
321,1764701357973,25,-74,-2,0,0,0,0,0
322,1764701358206,-13,-23,0,0,0,0,0,0
323,1764701358325,25,-53,-9,0,0,0,0,0
324,1764701358509,42,60,5,0,0,0,0,0
325,1764701358556,-3,-31,-3,0,0,0,0,0
326,1764701358622,-10,61,5,0,0,0,0,0
327,1764701358837,28,-86,-6,0,0,0,0,0
328,1764701358938,-11,-56,-1,0,0,0,0,0
329,1764701359174,-36,14,5,0,0,0,0,0
330,1764701359341,30,-14,-6,0,0,0,0,0
331,1764701359506,-5,-50,-6,0,0,0,0,0
332,1764701359621,-26,19,11,0,0,0,0,0
333,1764701359720,-42,-56,-3,0,0,0,0,0
334,1764701359804,77,-61,-6,0,0,0,0,0
335,1764701359990,26,40,5,0,0,0,0,0
336,1764701360187,49,-60,-4,0,0,0,0,0
337,1764701360456,-20,62,7,0,0,0,0,0
338,1764701360637,-48,-9,3,0,0,0,0,0
339,1764701360754,-29,-18,5,0,0,0,0,0
340,1764701360886,7,35,0,0,0,0,0,0
341,1764701361003,10,-16,0,0,0,0,0,0
342,1764701361154,41,-58,-2,0,0,0,0,0
343,1764701361337,50,-75,-8,0,0,0,0,0
344,1764701361457,-48,4,2,0,0,0,0,0
345,1764701361603,41,-10,-4,0,0,0,0,0
346,1764701361774,-18,-6,-3,0,0,0,0,0
347,1764701361922,-38,20,-2,0,0,0,0,0
348,1764701362104,27,39,4,0,0,0,0,0
349,1764701362304,33,42,7,0,0,0,0,0
350,1764701362523,-9,-82,2,0,0,0,0,0
351,1764701362589,28,-11,2,0,0,0,0,0
352,1764701362720,-10,22,-3,0,0,0,0,0
353,1764701362820,8,-41,0,0,0,0,0,0
354,1764701363021,19,-20,2,0,0,0,0,0
355,1764701363153,102,-11,-1,0,0,0,0,0
356,1764701363226,8,1,-4,0,0,0,0,0
357,1764701363405,1,5,-1,0,0,0,0,0
358,1764701363556,7,-25,-1,0,0,0,0,0
359,1764701363727,11,6,2,0,0,0,0,0
360,1764701363824,-8,13,-6,0,0,0,0,0
361,1764701363972,10,-21,-1,0,0,0,0,0
362,1764701364304,9,-11,1,0,0,0,0,0
363,1764701364371,10,-18,2,0,0,0,0,0
364,1764701364570,9,-12,0,0,0,0,0,0
365,1764701364670,7,-18,1,0,0,0,0,0
366,1764701364888,3,4,-1,0,0,0,0,0
367,1764701365138,1,-5,-1,0,0,0,0,0
368,1764701365254,5,-7,1,0,0,0,0,0
369,1764701365471,9,-19,1,0,0,0,0,0
370,1764701365739,3,-11,0,0,0,0,0,0
371,1764701365840,4,-6,-2,0,0,0,0,0
372,1764701366037,6,-9,1,0,0,0,0,0
373,1764701366320,6,-10,-2,0,0,0,0,0
374,1764701366487,5,-9,-1,0,0,0,0,0
375,1764701366687,6,-11,-1,0,0,0,0,0
376,1764701366937,6,-8,-1,0,0,0,0,0
377,1764701366986,4,-9,0,0,0,0,0,0
378,1764701367279,5,-9,1,0,0,0,0,0
379,1764701367521,5,-9,0,0,0,0,0,0
380,1764701367587,3,-8,-1,0,0,0,0,0
381,1764701367820,6,-10,0,0,0,0,0,0
382,1764701367906,5,-9,0,0,0,0,0,0
383,1764701368106,4,-8,0,0,0,0,0,0
384,1764701368204,4,-9,0,0,0,0,0,0
385,1764701368604,4,-10,0,0,0,0,0,0
386,1764701368754,5,-9,-1,0,0,0,0,0
387,1764701368920,5,-9,0,0,0,0,0,0
388,1764701369071,4,-9,0,0,0,0,0,0
389,1764701369170,5,-10,0,0,0,0,0,0
390,1764701369320,5,-9,-2,0,0,0,0,0
391,1764701369521,5,-9,-1,0,0,0,0,0
392,1764701369654,4,-8,-1,0,0,0,0,0
393,1764701369787,1,-8,-1,0,0,0,0,0
394,1764701369904,6,-9,-1,0,0,0,0,0
395,1764701370071,5,-11,-1,0,0,0,0,0
396,1764701370371,3,-12,-1,0,0,0,0,0
397,1764701370569,6,-14,-1,0,0,0,0,0
398,1764701370804,3,-12,1,0,0,0,0,0
399,1764701371054,-13,25,1,0,0,0,0,0
400,1764701371137,-10,-4,-6,0,0,0,0,0
401,1764701371387,27,-37,3,0,0,0,0,0
402,1764701371671,30,-25,3,0,0,0,0,0
403,1764701371721,8,-240,-5,0,0,0,0,0
404,1764701371988,-38,40,-6,0,0,0,0,0
405,1764701372220,-13,-3,-3,0,0,0,0,0
406,1764701372336,-16,-28,-3,0,0,0,0,0
407,1764701372621,-26,3,-1,0,0,0,0,0
408,1764701372854,46,43,3,0,0,0,0,0
409,1764701372937,48,65,4,0,0,0,0,0
410,1764701373137,32,31,3,0,0,0,0,0
411,1764701373187,-60,25,6,0,0,0,0,0
412,1764701373371,-241,41,5,0,0,0,0,0
413,1764701373521,230,27,0,0,0,0,0,0
414,1764701373687,-50,34,1,0,0,0,0,0
415,1764701373788,49,-9,3,0,0,0,0,0
416,1764701373970,67,-54,-4,0,0,0,0,0
417,1764701374104,209,-27,-2,0,0,0,0,0
418,1764701374620,3,-26,-1,0,0,0,0,0
419,1764701374737,-7,58,4,0,0,0,0,0
420,1764701375004,40,-78,-10,0,0,0,0,0
421,1764701375187,23,39,1,0,0,0,0,0
422,1764701375304,25,19,5,0,0,0,0,0
423,1764701375570,7,61,9,0,0,0,0,0
424,1764701375804,-41,-36,2,0,0,0,0,0
425,1764701375904,12,12,4,0,0,0,0,0
426,1764701376154,14,-36,0,0,0,0,0,0
427,1764701376337,3,-2,0,0,0,0,0,0
428,1764701376537,5,-7,0,0,0,0,0,0
429,1764701376804,0,-10,-5,0,0,0,0,0
430,1764701377021,-1,-2,-4,0,0,0,0,0
431,1764701377104,10,-18,2,0,0,0,0,0
432,1764701377354,3,-31,-3,0,0,0,0,0
433,1764701377554,-14,5,-5,0,0,0,0,0
434,1764701377688,14,-28,4,0,0,0,0,0
435,1764701377937,5,-4,-1,0,0,0,0,0
436,1764701378137,6,-11,-1,0,0,0,0,0
437,1764701378237,8,-26,4,0,0,0,0,0
438,1764701378504,7,-16,1,0,0,0,0,0
439,1764701378820,3,2,-2,0,0,0,0,0
440,1764701378887,4,-4,-2,0,0,0,0,0
441,1764701379054,7,-19,-2,0,0,0,0,0
442,1764701379154,2,-1,-2,0,0,0,0,0
443,1764701379370,7,-16,-1,0,0,0,0,0
444,1764701379488,7,-12,-1,0,0,0,0,0
445,1764701379737,5,-11,0,0,0,0,0,0
446,1764701379920,3,-4,-1,0,0,0,0,0
447,1764701380057,3,-9,-1,0,0,0,0,0
448,1764701380304,6,-7,-2,0,0,0,0,0
449,1764701380437,6,-10,-1,0,0,0,0,0
450,1764701380687,4,-6,-1,0,0,0,0,0
451,1764701380954,5,-11,0,0,0,0,0,0
452,1764701381171,7,-8,0,0,0,0,0,0
453,1764701381254,6,-10,0,0,0,0,0,0
