index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR
829,1782590527516,1,0,110
830,1782590528217,1,0,110
831,1782590528832,1,0,110
832,1782590529980,1,0,110
833,1782590530596,1,0,110
834,1782590531730,1,0,110
835,1782590532897,1,0,110
836,1782590533795,1,0,110
837,1782590536525,1,0,110
838,1782590537574,1,0,110
839,1782590538207,1,0,110
840,1782590539006,1,0,110
841,1782590539772,1,0,110
842,1782590541088,1,0,110
843,1782590541537,1,0,110
844,1782590542753,1,0,110
845,1782590542819,1,0,110
846,1782590543502,1,0,110
847,1782590544235,1,0,110
848,1782590545567,1,0,110
849,1782590546217,1,0,110
850,1782590546933,1,0,110
851,1782590547367,1,0,110
852,1782590547665,1,0,110
853,1782590548366,1,0,110
854,1782590549813,1,0,110
855,1782590550363,1,0,110
856,1782590550996,1,0,110
857,1782590551446,1,0,110
858,1782590552162,1,0,110
859,1782590552795,1,0,110
860,1782590553761,1,0,110
861,1782590554061,1,0,110
862,1782590555376,1,0,110
863,1782590556240,1,0,110
864,1782590556241,1,0,110
865,1782590556875,1,0,110
866,1782590557557,1,0,110
867,1782590558173,1,0,110
868,1782590558573,1,0,110
869,1782590559272,1,0,110
870,1782590561604,1,0,110
871,1782590563269,1,0,110
872,1782590563985,1,0,110
873,1782590564818,1,0,110
874,1782590565068,1,0,110
875,1782590565167,1,0,110
876,1782590566567,1,0,110
877,1782590566634,1,0,110
878,1782590567533,1,0,110
879,1782590568048,1,0,110
880,1782590571879,0,0,110
881,1782590572178,0,0,110
882,1782590573610,0,0,110
883,1782590573994,0,0,110
884,1782590574260,0,0,110
885,1782590574576,0,0,110
886,1782590574860,0,0,110
887,1782590575776,0,0,110
888,1782590575792,0,0,110
889,1782590575975,0,0,110
890,1782590576291,0,0,110
891,1782590576609,0,0,110
892,1782590576941,0,0,110
893,1782590577324,0,0,110
894,1782590577457,0,0,110
895,1782590577757,0,0,110
896,1782590578056,0,0,110
897,1782590578423,0,0,110
898,1782590578707,0,0,110
899,1782590579072,0,0,110
900,1782590579372,0,0,110
901,1782590579889,0,0,110
902,1782590580138,0,0,110
903,1782590580471,0,0,110
904,1782590580787,0,0,110
905,1782590583968,0,0,110
906,1782590584319,0,0,110
907,1782590584584,0,0,110
908,1782590586800,0,0,110
909,1782590586915,0,0,110
910,1782590589846,0,0,110
911,1782590590163,0,0,110
912,1782590592494,0,0,110
913,1782590594826,0,0,110
914,1782590600971,0,0,110
915,1782590601354,0,0,110
916,1782590601687,0,0,110
917,1782590601886,0,0,110
918,1782590602087,0,0,110
919,1782590602436,0,0,110
920,1782590602802,0,0,110
921,1782590603152,0,0,110
922,1782590605750,0,0,110
923,1782590606050,0,0,110
924,1782590606317,0,0,110
925,1782590606633,0,0,110
926,1782590607216,0,0,110
927,1782590607532,0,0,110
928,1782590607832,0,0,110
929,1782590608148,0,0,110
930,1782590608815,0,0,110
931,1782590608864,0,0,110
932,1782590609097,0,0,110
933,1782590609231,0,0,110
934,1782590609615,0,0,110
935,1782590609897,0,0,110
936,1782590610263,0,0,110
937,1782590610579,0,0,110
938,1782590611728,0,0,110
939,1782590611978,0,0,110
940,1782590612294,0,0,110
941,1782590612611,0,0,110
942,1782590612861,0,0,110
943,1782590613227,0,0,110
944,1782590613843,0,0,110
945,1782590613977,0,0,110
946,1782590614576,0,0,110
947,1782590614892,0,0,110
948,1782590615142,0,0,110
949,1782590615459,0,0,110
950,1782590615725,0,0,110
951,1782590616058,0,0,110
952,1782590616258,0,0,110
953,1782590618007,0,0,110
954,1782590618639,0,0,110
955,1782590619805,0,0,110
956,1782590619855,0,0,110
957,1782590620206,0,0,110
958,1782590620504,0,0,110
959,1782590620755,0,0,110
960,1782590621154,0,0,110
961,1782590621338,0,0,110
962,1782590621604,0,0,110
963,1782590622004,0,0,110
964,1782590622253,0,0,110
965,1782590624002,0,0,110
966,1782590625201,0,0,110
967,1782590625534,0,0,110
968,1782590625900,0,0,110
969,1782590626133,0,0,110
970,1782590626416,0,0,110
971,1782590626749,0,0,110
972,1782590627101,0,0,110
973,1782590630846,0,0,110
974,1782590631711,0,0,110
975,1782590632061,0,0,110
976,1782590632445,0,0,110
977,1782590632745,0,0,110
978,1782590633594,0,0,110
