index,date,ENERGY_R_MOTOR,OVERLOAD_R_MOTOR,TEMPERATURE1_R,TEMPERATURE2_R
559,1782590307118,0,0,0,0
560,1782590307485,0,0,0,0
561,1782590307818,0,0,0,0
562,1782590308400,0,0,11,0
563,1782590308600,0,0,11,0
564,1782590308950,0,0,11,0
565,1782590309266,0,0,11,0
566,1782590312780,0,0,134,0
567,1782590313929,0,0,134,0
568,1782590314595,0,0,178,0
569,1782590314879,0,0,178,0
570,1782590315245,0,0,178,0
571,1782590315627,0,0,178,0
572,1782590315761,0,0,178,0
573,1782590316160,0,0,178,0
574,1782590320207,0,0,243,0
575,1782590322039,0,0,267,0
576,1782590322305,0,0,286,0
577,1782590322739,0,0,286,0
578,1782590322988,0,0,286,0
579,1782590323488,0,0,286,0
580,1782590323870,0,0,286,0
581,1782590324154,0,0,286,0
582,1782590324804,0,0,301,0
583,1782590325154,0,0,301,0
584,1782590325519,0,0,301,0
585,1782590325636,0,0,301,0
586,1782590326053,0,0,301,0
587,1782590327018,0,0,315,0
588,1782590329250,0,0,328,0
589,1782590331032,0,0,339,0
590,1782590332480,0,0,348,0
591,1782590332663,0,0,348,0
592,1782590332947,0,0,348,0
593,1782590333363,0,0,348,0
594,1782590333979,0,0,348,0
595,1782590334945,0,0,356,0
596,1782590335544,0,0,356,0
597,1782590335994,0,0,356,0
598,1782590336626,0,0,362,0
599,1782590338509,0,0,368,0
600,1782590338908,0,0,368,0
601,1782590339541,0,0,368,0
602,1782590339841,0,0,368,0
603,1782590340457,0,0,372,0
604,1782590341523,0,0,372,0
605,1782590343104,0,0,376,0
606,1782590344436,0,0,380,0
607,1782590345452,0,0,380,0
608,1782590346052,0,0,380,0
609,1782590346486,0,0,383,0
610,1782590348017,0,0,383,0
611,1782590348983,0,0,385,0
612,1782590349749,0,0,385,0
613,1782590350015,0,0,385,0
614,1782590351031,0,0,387,0
615,1782590351597,0,0,387,0
616,1782590351930,0,0,387,0
617,1782590352480,0,0,389,0
618,1782590352846,0,0,389,0
619,1782590353879,0,0,389,0
620,1782590354562,0,0,391,0
621,1782590354811,0,0,391,0
622,1782590355727,0,0,391,0
623,1782590356127,0,0,391,0
624,1782590357659,0,0,393,0
625,1782590358675,0,0,395,0
626,1782590359424,0,0,395,0
627,1782590359608,0,0,395,0
628,1782590360224,0,0,395,0
629,1782590360640,0,0,397,0
630,1782590361272,0,0,397,0
631,1782590361689,0,0,397,0
632,1782590362205,0,0,397,0
633,1782590362855,0,0,398,0
634,1782590363471,0,0,398,0
635,1782590363954,0,0,398,0
636,1782590364136,0,0,398,0
637,1782590364486,0,0,398,0
638,1782590364903,0,0,398,0
