index,date,ERROR_SUM_S4,ERROR_SUM_S5,ERROR_SUM_S6
3040,1782669917377,0,0,0
3041,1782669917428,0,0,0
3042,1782669918944,0,0,0
3043,1782669919978,0,0,0
3044,1782669921094,0,0,0
3045,1782669921511,0,0,0
3046,1782669922195,0,0,0
3047,1782669923777,0,0,0
3048,1782669924227,0,0,0
3049,1782669924295,0,0,0
3050,1782669924811,0,0,0
3051,1782669925762,0,0,0
3052,1782669926362,0,0,0
3053,1782669926778,0,0,0
3054,1782669927380,0,0,0
3055,1782669928328,0,0,0
3056,1782669928895,0,0,0
3057,1782669929395,0,0,0
3058,1782669929928,0,0,0
3059,1782669930962,0,0,0
3060,1782669931478,0,0,0
3061,1782669932011,0,0,0
3062,1782669932545,0,0,0
3063,1782669933061,0,0,0
3064,1782669933595,0,0,0
3065,1782669934145,0,0,0
3066,1782669934661,0,0,0
3067,1782669935662,0,0,0
3068,1782669936179,0,0,0
3069,1782669936713,0,0,0
3070,1782669937146,0,0,0
3071,1782669938079,0,0,0
3072,1782669939479,0,0,0
3073,1782669940362,0,0,0
3074,1782669941711,0,0,0
3075,1782669942330,0,0,0
3076,1782669942828,0,0,0
3077,1782669943228,0,0,0
3078,1782669943861,0,0,0
3079,1782669944312,0,0,0
3080,1782669945412,0,0,0
3081,1782669945862,0,0,0
3082,1782669946445,0,0,0
3083,1782669946862,0,0,0
3084,1782669947979,0,0,0
3085,1782669948662,0,0,0
3086,1782669950078,0,0,0
3087,1782669950728,0,0,0
3088,1782669952779,0,0,0
3089,1782669953415,0,0,0
3090,1782669953879,0,0,0
3091,1782669953929,0,0,0
3092,1782669955478,0,0,0
3093,1782669956061,0,0,0
3094,1782669956628,0,0,0
3095,1782669957112,0,0,0
3096,1782669957662,0,0,0
3097,1782669958178,0,0,0
3098,1782669959912,0,0,0
3099,1782669960461,0,0,0
3100,1782669960912,0,0,0
3101,1782669960945,0,0,0
3102,1782669963095,0,0,0
3103,1782669963662,0,0,0
3104,1782669964628,0,0,0
3105,1782669965145,0,0,0
3106,1782669965678,0,0,0
3107,1782669966128,0,0,0
3108,1782669967931,0,0,0
3109,1782669968445,0,0,0
3110,1782669968929,0,0,0
3111,1782669969346,0,0,0
3112,1782669969813,0,0,0
3113,1782669970746,0,0,0
3114,1782669971362,0,0,0
3115,1782669971812,0,0,0
3116,1782669972245,0,0,0
3117,1782669972862,0,0,0
3118,1782669974346,0,0,0
3119,1782669974397,0,0,0
3120,1782669975480,0,0,0
3121,1782669975962,0,0,0
3122,1782669976512,0,0,0
3123,1782669977162,0,0,0
3124,1782669977612,0,0,0
3125,1782669978230,0,0,0
3126,1782669979162,0,0,0
3127,1782669980262,0,0,0
3128,1782669980828,0,0,0
3129,1782669981778,0,0,0
3130,1782669982879,0,0,0
3131,1782669983912,0,0,0
3132,1782669984430,0,0,0
3133,1782669984929,0,0,0
3134,1782669985479,0,0,0
3135,1782669986512,0,0,0
