index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECRASE_L
921,1782566613624,1131,1131,0
922,1782566613973,1464,1464,0
923,1782566614956,1110,1110,0
924,1782566615489,1134,1134,0
925,1782566615838,1023,1023,0
926,1782566616771,1017,1017,0
927,1782566619502,930,930,0
928,1782566620368,0,0,0
929,1782566620667,319,319,0
930,1782566621817,1405,1405,0
931,1782566622200,1164,1164,0
932,1782566622582,328,328,0
933,1782566622966,628,628,0
934,1782566623300,460,460,0
935,1782566623682,420,420,0
936,1782566624847,267,267,0
937,1782566626047,747,747,0
938,1782566626979,664,664,0
939,1782566627429,807,807,0
940,1782566627578,562,562,0
941,1782566627861,586,586,0
942,1782566628245,0,0,0
943,1782566629344,1261,1261,0
944,1782566629493,1402,1402,0
945,1782566630127,1227,1227,0
946,1782566630343,1030,1030,0
947,1782566631292,1138,1138,0
948,1782566633724,252,252,0
949,1782566635872,1104,1104,0
950,1782566637370,957,957,0
951,1782566637753,970,970,0
952,1782566638286,1015,1015,0
953,1782566638685,1275,1275,0
954,1782566640501,0,0,0
955,1782566641800,718,658,0
956,1782566642549,1179,1179,0
957,1782566643931,622,622,0
958,1782566644281,717,717,0
959,1782566645363,499,499,0
960,1782566645713,766,766,0
961,1782566647078,988,988,0
962,1782566647412,964,964,0
963,1782566650376,0,0,0
964,1782566651358,220,220,0
965,1782566651575,516,516,0
966,1782566652424,994,975,0
967,1782566653756,1333,1333,0
