index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECREASE_L
844,1782566514440,25,0,0
845,1782566514856,25,0,0
846,1782566516006,25,0,0
847,1782566517704,25,0,0
848,1782566518736,25,0,0
849,1782566519253,25,0,0
850,1782566520468,25,0,0
851,1782566521268,25,0,0
852,1782566522217,25,0,0
853,1782566523233,25,0,0
854,1782566524082,25,0,0
855,1782566524481,25,0,0
856,1782566525398,25,0,0
857,1782566525964,25,0,0
858,1782566526214,25,0,0
859,1782566526630,25,0,0
860,1782566527462,25,0,0
861,1782566529327,25,0,0
862,1782566529728,25,0,0
863,1782566531493,25,0,0
864,1782566531893,25,0,0
865,1782566532442,25,0,0
866,1782566532875,25,0,0
867,1782566533208,25,0,0
868,1782566533741,25,0,0
869,1782566534257,25,0,0
870,1782566534607,25,0,0
871,1782566535007,25,0,0
872,1782566535839,25,0,0
873,1782566536772,25,0,0
874,1782566538304,25,0,0
875,1782566539103,25,0,0
876,1782566539452,25,0,0
877,1782566539769,25,0,0
878,1782566540885,25,0,0
879,1782566541268,25,0,0
880,1782566542417,25,0,0
881,1782566542733,25,0,0
882,1782566543516,25,0,0
883,1782566543982,25,0,0
884,1782566545115,25,0,0
885,1782566545930,25,0,0
886,1782566546330,25,0,0
887,1782566547213,25,0,0
888,1782566547562,25,0,0
889,1782566548029,25,0,0
890,1782566548445,25,0,0
891,1782566549377,25,0,0
892,1782566549794,25,0,0
893,1782566550260,25,0,0
894,1782566550626,25,0,0
895,1782566551509,25,0,0
896,1782566551892,25,0,0
897,1782566552658,25,0,0
898,1782566552975,25,0,0
899,1782566553873,25,0,0
900,1782566555756,25,0,0
901,1782566556155,25,0,0
902,1782566556988,25,0,0
903,1782566558253,25,0,0
904,1782566559569,25,0,0
905,1782566559802,25,0,0
906,1782566559985,25,0,0
907,1782566560368,25,0,0
908,1782566561234,25,0,0
909,1782566561650,25,0,0
910,1782566562300,25,0,0
911,1782566562466,25,0,0
912,1782566562816,25,0,0
913,1782566563749,25,0,0
914,1782566564881,25,0,0
915,1782566566763,25,0,0
916,1782566567862,25,0,0
917,1782566568228,25,0,0
918,1782566570494,25,0,0
919,1782566570860,25,0,0
920,1782566571209,25,0,0
921,1782566572025,25,0,0
922,1782566572308,25,0,0
923,1782566572891,25,0,0
924,1782566573241,25,0,0
925,1782566575339,25,0,0
926,1782566575688,25,0,0
927,1782566576072,25,0,0
928,1782566576872,25,0,0
929,1782566577138,25,0,0
930,1782566578053,25,0,0
931,1782566578470,25,0,0
932,1782566580235,25,0,0
933,1782566582699,25,0,0
934,1782566584681,25,0,0
935,1782566585277,25,0,0
936,1782566585980,25,0,0
937,1782566586280,25,0,0
938,1782566586829,25,0,0
939,1782566587196,25,0,0
940,1782566587562,25,0,0
941,1782566588444,25,0,0
942,1782566588744,25,0,0
943,1782566589294,25,0,0
944,1782566590227,25,0,0
945,1782566590626,25,0,0
946,1782566591292,25,0,0
947,1782566591775,25,0,0
948,1782566592924,25,0,0
949,1782566593292,25,0,0
950,1782566593474,25,0,0
951,1782566594740,25,0,0
952,1782566596521,25,0,0
953,1782566597654,25,0,0
954,1782566598053,25,0,0
955,1782566598569,25,0,0
956,1782566598819,25,0,0
957,1782566600116,25,0,0
958,1782566601033,25,0,0
959,1782566601283,25,0,0
960,1782566602549,25,0,0
961,1782566604679,25,0,0
962,1782566606727,25,0,0
963,1782566607311,25,0,0
964,1782566608026,25,0,0
965,1782566608876,25,0,0
966,1782566610175,25,0,0
967,1782566610558,25,0,0
968,1782566611407,25,0,0
969,1782566611976,25,0,0
970,1782566612323,25,0,0
971,1782566613190,25,0,0
972,1782566614472,25,0,0
973,1782566616238,25,0,0
974,1782566617221,25,0,0
975,1782566617586,25,0,0
976,1782566617804,25,0,0
977,1782566618353,25,0,0
978,1782566618652,25,0,0
979,1782566619019,25,0,0
980,1782566619919,25,0,0
