index,date,CONTROL_EVENT_FLAG_1,CONTROL_EVENT_FLAG_2
1554,1782567010974,0,0
1555,1782567011306,0,0
1556,1782567016635,0,1
1557,1782567016835,0,1
1558,1782567017149,0,1
1559,1782567017349,0,1
1560,1782567017665,0,1
1561,1782567017899,0,1
1562,1782567018265,0,1
1563,1782567018564,0,1
1564,1782567018848,0,1
1565,1782567019597,0,1
1566,1782567019980,0,1
1567,1782567020279,0,1
1568,1782567020563,0,1
1569,1782567020895,0,1
1570,1782567021379,0,5
1571,1782567021579,0,5
1572,1782567022444,0,5
1573,1782567026374,0,5
1574,1782567027135,0,5
1575,1782567027157,0,5
1576,1782567027223,0,5
1577,1782567027573,0,5
1578,1782567027856,0,5
1579,1782567028090,0,5
1580,1782567028406,0,5
1581,1782567028692,0,5
1582,1782567032289,0,5
1583,1782567032705,0,5
1584,1782567033803,0,5
1585,1782567035020,0,5
1586,1782567035403,0,5
1587,1782567036168,0,5
1588,1782567037485,0,5
1589,1782567039582,0,5
1590,1782567041631,0,5
1591,1782567041980,0,5
1592,1782567042913,0,5
1593,1782567044428,0,5
1594,1782567045394,0,5
1595,1782567045595,0,5
1596,1782567046194,0,5
1597,1782567046593,0,5
1598,1782567047492,0,5
1599,1782567047959,0,5
1600,1782567048075,0,5
1601,1782567048308,0,5
1602,1782567049153,0,5
1603,1782567049607,0,5
1604,1782567050007,0,5
1605,1782567051772,0,5
1606,1782567052687,0,5
1607,1782567053871,0,5
1608,1782567054803,0,5
1609,1782567055220,0,5
1610,1782567055969,0,5
1611,1782567056332,0,5
1612,1782567056699,0,5
1613,1782567059246,0,5
1614,1782567060179,0,5
1615,1782567060812,0,5
1616,1782567061662,0,5
1617,1782567062060,0,5
1618,1782567062777,0,5
1619,1782567063260,0,5
1620,1782567064092,0,5
1621,1782567064459,0,5
1622,1782567065125,0,5
1623,1782567065158,0,5
1624,1782567065658,0,5
1625,1782567066541,0,5
1626,1782567066923,0,5
1627,1782567067639,0,5
1628,1782567069055,0,5
1629,1782567071203,0,5
1630,1782567071737,0,5
1631,1782567072169,0,5
1632,1782567072302,0,5
1633,1782567072585,0,5
1634,1782567072969,0,5
1635,1782567073335,0,5
1636,1782567074134,0,5
1637,1782567074567,0,5
1638,1782567075367,0,5
1639,1782567076249,0,5
1640,1782567076599,0,5
1641,1782567077048,0,5
1642,1782567077148,0,5
1643,1782567077448,0,5
1644,1782567077781,0,5
1645,1782567079430,0,5
1646,1782567079513,0,5
1647,1782567079846,0,5
1648,1782567080246,0,5
1649,1782567081112,0,5
1650,1782567081495,0,5
1651,1782567082179,0,5
1652,1782567082294,0,5
1653,1782567082610,0,5
1654,1782567083810,0,5
1655,1782567084159,0,5
1656,1782567085575,0,5
1657,1782567087007,0,5
1658,1782567088473,0,5
1659,1782567088855,0,5
1660,1782567089155,0,5
1661,1782567089654,0,5
1662,1782567090381,0,5
1663,1782567091337,0,5
1664,1782567091636,0,5
1665,1782567091720,0,5
1666,1782567092219,0,5
1667,1782567093237,0,5
1668,1782567093421,0,5
1669,1782567094270,0,5
1670,1782567094620,0,5
1671,1782567095486,0,5
1672,1782567095868,0,5
1673,1782567096751,0,5
1674,1782567097667,0,5
1675,1782567098000,0,5
1676,1782567099715,0,5
1677,1782567100998,0,5
1678,1782567102163,0,5
1679,1782567102562,0,5
1680,1782567103428,0,5
1681,1782567104201,0,5
1682,1782567104228,0,5
1683,1782567104661,0,5
1684,1782567105544,0,5
1685,1782567105977,0,5
1686,1782567106193,0,5
1687,1782567106426,0,5
1688,1782567107376,0,5
1689,1782567107775,0,5
1690,1782567108874,0,5
1691,1782567109191,0,5
1692,1782567110340,0,5
1693,1782567110673,0,5
1694,1782567111472,0,5
1695,1782567111805,0,5
1696,1782567112121,0,5
1697,1782567112504,0,5
1698,1782567113637,0,5
1699,1782567115219,0,5
1700,1782567116934,0,5
1701,1782567117333,0,5
1702,1782567119465,0,5
1703,1782567120315,0,5
1704,1782567120581,0,5
1705,1782567121480,0,5
1706,1782567122779,0,5
1707,1782567123062,0,5
1708,1782567123612,0,5
1709,1782567123978,0,5
1710,1782567124893,0,5
1711,1782567125611,0,5
1712,1782567126192,0,5
1713,1782567126210,0,5
1714,1782567127025,0,5
1715,1782567128241,0,5
1716,1782567129124,0,5
1717,1782567129524,0,5
1718,1782567131322,0,5
1719,1782567132338,0,5
1720,1782567132720,0,5
1721,1782567132887,0,5
1722,1782567133187,0,5
1723,1782567134370,0,5
1724,1782567134769,0,5
1725,1782567135218,192,1
1726,1782567135835,192,0
1727,1782567136418,192,0
1728,1782567137234,192,0
1729,1782567137234,192,0
1730,1782567137633,192,0
1731,1782567138216,192,0
1732,1782567139065,192,0
1733,1782567139315,192,0
1734,1782567139598,192,0
1735,1782567139865,192,0
1736,1782567140181,192,0
1737,1782567140397,192,0
1738,1782567141114,192,0
1739,1782567142263,192,0
1740,1782567142496,192,0
1741,1782567143745,192,0
1742,1782567143978,192,0
1743,1782567144894,192,0
1744,1782567146126,192,0
1745,1782567147375,0,0
1746,1782567148208,0,0
1747,1782567148973,0,0
1748,1782567149108,0,0
1749,1782567149424,0,0
1750,1782567151038,0,0
1751,1782567152454,0,0
