index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR,CURRENT_R_MOTOR,1,2,3,4
1434,1762970223529,0,0,0,0,0,0,0,0
1435,1762970223679,0,0,0,0,0,0,0,0
1436,1762970223747,0,0,0,0,0,0,0,0
1437,1762970223862,0,0,0,0,0,0,0,0
1438,1762970224013,0,0,0,0,0,0,0,0
1439,1762970224130,0,0,0,0,0,0,0,0
1440,1762970224230,0,0,0,0,0,0,0,0
1441,1762970224347,0,0,0,0,0,0,0,0
1442,1762970224463,0,0,0,0,0,0,0,0
1443,1762970224630,0,0,0,0,0,0,0,0
1444,1762970224845,0,0,0,0,0,0,0,0
1445,1762970225027,0,0,0,0,0,0,0,0
