index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR,1,2,3,4,5
481,1762970064929,0,0,0,0,0,0,0,0
482,1762970064995,0,0,0,0,0,0,0,0
483,1762970065211,0,0,0,0,0,0,0,0
484,1762970065430,0,0,0,0,0,0,0,0
485,1762970065661,0,0,0,0,0,0,0,0
486,1762970066094,0,0,0,3.31,0,0,0,0
487,1762970066327,0,0,0,0,0,0,0,0
488,1762970066428,0,0,0,0,0,0,0,0
489,1762970066544,0,0,0,0,0,0,0,0
490,1762970066660,0,0,0,0,0,0,0,0
491,1762970066927,0,0,0,0,0,0,0,0
492,1762970067093,0,0,0,0,0,0,0,0
493,1762970067193,0,0,0,0,0,0,0,0
494,1762970067409,0,0,0,0,0,0,0,0
495,1762970067959,0,0,0,0,0,0,0,0
496,1762970068078,0,0,0,0,0,0,0,0
497,1762970068210,0,0,0,0,0,0,0,0
498,1762970068408,0,0,0,0,0,0,0,0
499,1762970068509,0,0,0,0,0,0,0,0
500,1762970068625,0,0,0,0,0,0,0,0
501,1762970068741,0,0,0,0,0,0,0,0
502,1762970068925,0,0,0,33139,0,0,0,0
503,1762970069025,0,0,0,0,0,0,0,0
504,1762970069076,0,0,0,0,0,0,0,0
505,1762970069174,0,0,0,0,0,0,0,0
506,1762970069308,0,0,0,0,0,0,0,0
507,1762970069724,0,0,0,0,0,0,0,0
508,1762970069891,0,0,0,0,0,0,0,0
509,1762970070058,0,0,0,0,0,0,0,0
510,1762970070175,0,0,0,0,0,0,0,0
511,1762970070291,0,0,0,0,0,0,0,0
512,1762970070391,0,0,0,0,0,0,0,0
513,1762970070625,0,0,0,0,0,0,0,0
514,1762970070723,0,0,0,0,0,0,0,0
515,1762970070840,0,0,0,0,0,0,0,0
516,1762970070957,0,0,0,0,0,0,0,0
517,1762970071056,0,0,0,0,0,0,0,0
518,1762970071190,0,0,0,0,0,0,0,0
519,1762970071273,0,0,0,0,0,0,0,0
520,1762970071374,0,0,0,0,0,0,0,0
521,1762970071605,0,0,0,0,0,0,0,0
522,1762970071705,0,0,0,0,0,0,0,0
523,1762970071840,0,0,0,1,0,0,0,0
524,1762970071923,0,0,0,0,0,0,0,0
525,1762970072038,0,0,0,3.31,0,0,0,0
526,1762970072189,0,0,0,0,0,0,0,0
527,1762970072422,0,0,0,0,0,0,0,0
528,1762970072589,0,0,0,0,0,0,0,0
529,1762970072689,0,0,0,0,0,0,0,0
530,1762970072822,0,0,0,0,0,0,0,0
531,1762970072922,0,0,0,0,0,0,0,0
532,1762970073039,0,0,0,0,0,0,0,0
533,1762970073139,0,0,0,0,0,0,0,0
534,1762970073255,0,0,0,0,0,0,0,0
535,1762970073355,0,0,0,0,0,0,0,0
536,1762970073470,0,0,0,0,0,0,0,0
