index,date,1,2,3,4,5,6,7,8
3369,1762968508962,0,0,0,0,0,0,0,0
3370,1762968509061,0,0,0,0,0,0,0,0
3371,1762968509175,0,0,0,0,0,0,0,0
3372,1762968509259,0,0,0,0,0,0,0,0
3373,1762968509375,0,0,0,0,0,0,0,0
3374,1762968509491,0,0,0,0,0,0,0,0
3375,1762968509608,0,0,0,0,0,0,0,0
3376,1762968509808,0,0,0,0,0,0,0,0
3377,1762968509991,0,0,0,0,0,0,0,0
3378,1762968510090,0,0,0,0,0,0,0,0
3379,1762968510158,0,0,0,0,0,0,0,0
3380,1762968510256,0,0,0,0,0,0,0,0
3381,1762968510391,0,0,0,0,0,0,0,0
3382,1762968510491,0,0,0,0,0,0,0,0
3383,1762968510606,0,0,0,0,0,0,0,0
3384,1762968510723,0,0,0,0,0,0,0,0
3385,1762968510824,0,0,0,0,0,0,0,0
3386,1762968510973,0,0,0,0,0,0,0,0
3387,1762968511073,0,0,0,0,0,0,0,0
3388,1762968511140,0,0,0,0,0,0,0,0
