index,date,MIN_VOLTAGE,MAX_VOLTAGE,TOTAL_VOLTAGE,SHUNT_CURRENT,1,2,3,4
408,1762968352256,3.32,3.25,79.2,0,0,0,0,0
409,1762968352724,3.32,3.16,79.1,0,0,0,0,0
410,1762968353522,3.32,3.25,79.2,0,0,0,0,0
411,1762968354006,3.32,3.17,79.1,0,0,0,0,0
412,1762968354805,3.32,3.25,79.2,0,0,0,0,0
413,1762968355238,3.32,3.17,79.1,0,0,0,0,0
414,1762968356053,3.32,3.25,79.2,0,0,0,0,0
415,1762968356468,3.32,3.17,79.1,0,0,0,0,0
416,1762968357302,3.32,3.25,79.2,0,0,0,0,0
417,1762968359765,3.32,3.25,79.2,0,0,0,0,0
418,1762968361013,3.32,3.25,79.2,0,0,0,0,0
419,1762968367309,3.32,3.25,79.2,0,0,0,0,0
420,1762968367758,3.32,3.17,79.1,0,0,0,0,0
421,1762968369009,3.32,3.17,79.1,0,0,0,0,0
422,1762968369807,3.32,3.25,79.2,0,0,0,0,0
423,1762968370257,3.32,3.17,79.1,0,0,0,0,0
424,1762968371073,3.32,3.25,79.2,0,0,0,0,0
425,1762968371522,3.32,3.16,79.1,0,0,0,0,0
426,1762968372305,3.32,3.25,79.2,0,0,0,0,0
427,1762968372788,3.32,3.16,79.1,0,0,0,0,0
428,1762968373604,3.32,3.25,79.2,0,0,0,0,0
429,1762968374870,3.32,3.25,79.2,0,0,0,0,0
430,1762968375269,3.32,3.17,79.1,0,0,0,0,0
431,1762968376068,3.32,3.25,79.2,0,0,0,0,0
432,1762968376553,3.32,3.18,79.1,0,0,0,0,0
433,1762968377785,3.32,3.17,79.1,0,0,0,0,0
434,1762968378585,3.32,3.25,79.2,0,0,0,0,0
435,1762968379050,3.32,3.17,79.1,0,0,0,0,0
436,1762968379850,3.32,3.25,79.2,0,0,0,0,0
437,1762968380314,3.32,3.18,79.1,0,0,0,0,0
438,1762968381097,3.32,3.25,79.2,0,0,0,0,0
439,1762968381546,3.32,3.16,79.1,0,0,0,0,0
440,1762968382346,3.32,3.25,79.2,0,0,0,0,0
441,1762968382813,3.32,3.17,79.1,0,0,0,0,0
442,1762968384062,3.32,3.16,79.1,0,0,0,0,0
443,1762968384843,3.32,3.25,79.2,0,0,0,0,0
444,1762968385312,3.32,3.16,79.1,0,0,0,0,0
445,1762968386095,3.32,3.25,79.2,0,0,0,0,0
446,1762968387378,3.32,3.25,79.2,0,0,0,0,0
447,1762968388611,3.32,3.25,79.2,0,0,0,0,0
448,1762968391578,3.32,3.17,79.1,0,0,0,0,0
449,1762968392421,3.32,3.25,79.2,0,0,0,0,0
450,1762968393739,3.32,3.25,79.2,0,0,0,0,0
451,1762968394150,3.32,3.17,79.1,0,0,0,0,0
452,1762968394918,3.32,3.25,79.2,0,0,0,0,0
453,1762968396626,3.32,3.17,79.1,0,0,0,0,0
454,1762968397841,3.32,3.16,79.1,0,0,0,0,0
455,1762968398655,3.32,3.25,79.2,0,0,0,0,0
456,1762968399129,3.32,3.17,79.1,0,0,0,0,0
457,1762968399926,3.32,3.25,79.2,0,0,0,0,0
458,1762968400359,3.32,3.17,79.1,0,0,0,0,0
459,1762968401154,3.32,3.25,79.2,0,0,0,0,0
460,1762968401603,3.32,3.18,79.1,0,0,0,0,0
461,1762968403645,3.32,3.25,79.2,0,0,0,0,0
462,1762968404111,3.32,3.17,79.1,0,0,0,0,0
463,1762968404911,3.32,3.25,79.2,0,0,0,0,0
464,1762968405378,3.32,3.17,79.1,0,0,0,0,0
465,1762968406177,3.32,3.25,79.2,0,0,0,0,0
466,1762968406610,3.32,3.18,79.1,0,0,0,0,0
467,1762968407409,3.32,3.25,79.2,0,0,0,0,0
468,1762968407875,3.32,3.16,79.1,0,0,0,0,0
469,1762968408691,3.32,3.25,79.2,0,0,0,0,0
