index,date,LEFT_MOTOR_CURRENT
1388,1782591238373,0
1389,1782591238739,0
1390,1782591239666,0
1391,1782591239688,0
1392,1782591240171,0
1393,1782591240471,0
1394,1782591240805,0
1395,1782591243985,0
1396,1782591244351,0
1397,1782591244751,0
1398,1782591244951,0
1399,1782591245517,0
1400,1782591245883,0
1401,1782591246166,0
1402,1782591246533,0
1403,1782591246783,0
1404,1782591247665,0
1405,1782591249430,0
1406,1782591249747,0
1407,1782591256974,0
1408,1782591257624,0
1409,1782591258356,0
1410,1782591259023,0
1411,1782591259773,0
1412,1782591262336,0
1413,1782591262586,0
1414,1782591263436,0
1415,1782591263802,0
1416,1782591264168,0
1417,1782591265267,0
1418,1782591265650,0
1419,1782591267948,0
1420,1782591270246,0
1421,1782591273477,0
1422,1782591273760,0
1423,1782591274143,0
1424,1782591274394,0
1425,1782591274760,0
1426,1782591275509,0
1427,1782591276175,0
1428,1782591276575,0
1429,1782591277490,0
1430,1782591277706,0
1431,1782591278024,0
1432,1782591278357,0
1433,1782591280055,0
1434,1782591280321,0
1435,1782591280639,0
1436,1782591280938,0
1437,1782591281271,0
1438,1782591281503,0
1439,1782591281837,0
1440,1782591282119,0
1441,1782591283768,0
1442,1782591284101,0
1443,1782591284351,0
1444,1782591286332,0
1445,1782591286650,0
1446,1782591286915,0
1447,1782591287900,0
1448,1782591288182,0
1449,1782591288547,0
1450,1782591289663,1550
1451,1782591289996,1595
1452,1782591290929,1842
1453,1782591292446,1612
1454,1782591292877,1371
1455,1782591293477,1047
1456,1782591293893,1047
1457,1782591294294,1056
1458,1782591295492,1045
1459,1782591296125,0
1460,1782591296608,7
1461,1782591296741,9
1462,1782591297074,10
1463,1782591297707,1014
1464,1782591298440,1028
1465,1782591299205,1027
1466,1782591299454,1025
1467,1782591300038,1026
1468,1782591300521,1029
1469,1782591301686,1031
1470,1782591302036,1035
1471,1782591303085,1030
1472,1782591304601,1217
1473,1782591305067,1057
1474,1782591305999,1032
1475,1782591306366,1167
1476,1782591306949,1055
1477,1782591307848,1313
1478,1782591309697,714
1479,1782591310147,1031
1480,1782591310729,1036
1481,1782591311145,1030
1482,1782591311678,1032
1483,1782591312694,1037
1484,1782591312744,1042
1485,1782591313326,1040
1486,1782591314260,1011
1487,1782591315225,999
1488,1782591315692,1028
1489,1782591316241,1040
1490,1782591317240,1005
