index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
1887,1782591552275,0,0,2
1888,1782591552616,0,0,2
1889,1782591552925,0,0,2
1890,1782591553608,0,0,2
1891,1782591553758,0,0,2
1892,1782591554057,0,0,2
1893,1782591555090,0,0,2
1894,1782591555107,0,0,2
1895,1782591555107,0,0,2
1896,1782591556223,0,0,2
1897,1782591556505,0,0,2
1898,1782591557954,0,0,2
1899,1782591558238,0,0,2
1900,1782591561168,0,0,2
1901,1782591561418,0,0,2
1902,1782591561718,0,0,2
1903,1782591562051,0,0,2
1904,1782591562317,0,0,2
1905,1782591562634,0,0,2
1906,1782591562817,0,0,2
1907,1782591563217,0,0,2
1908,1782591563617,0,0,2
1909,1782591564200,0,0,2
1910,1782591564582,0,0,2
1911,1782591564883,0,0,2
1912,1782591566131,0,0,2
1913,1782591566147,0,0,2
1914,1782591566164,0,0,2
1915,1782591566164,0,0,2
1916,1782591566348,0,0,2
1917,1782591566664,0,0,2
1918,1782591567330,0,0,2
1919,1782591568512,0,0,2
1920,1782591568695,0,0,2
1921,1782591569045,0,0,2
1922,1782591569295,0,0,2
1923,1782591570361,0,0,2
1924,1782591570943,0,0,2
1925,1782591571943,0,0,2
1926,1782591573291,0,0,2
1927,1782591573541,0,0,2
1928,1782591574124,0,0,2
1929,1782591574574,0,0,2
1930,1782591575139,0,0,2
1931,1782591575489,0,0,2
1932,1782591576089,0,0,2
1933,1782591577155,0,0,2
1934,1782591577804,0,0,2
1935,1782591578787,0,0,2
1936,1782591579386,0,0,2
1937,1782591579853,0,0,2
1938,1782591581051,0,0,2
1939,1782591582100,0,0,2
1940,1782591584965,0,0,2
1941,1782591586132,0,0,2
1942,1782591588179,0,0,2
1943,1782591588712,0,0,2
1944,1782591589627,0,0,2
1945,1782591589960,0,0,2
1946,1782591590577,0,0,2
1947,1782591591576,0,0,2
1948,1782591593141,0,0,2
1949,1782591594190,0,0,2
1950,1782591594606,0,0,2
1951,1782591595123,0,0,2
1952,1782591595722,0,0,2
1953,1782591596156,0,0,2
1954,1782591596805,0,0,2
1955,1782591597204,0,0,2
1956,1782591597388,0,0,2
1957,1782591597687,0,0,2
1958,1782591599136,0,0,2
1959,1782591599153,0,0,2
1960,1782591600285,0,0,2
1961,1782591601334,0,0,2
1962,1782591602933,0,0,2
1963,1782591604032,0,0,2
1964,1782591604964,0,0,2
1965,1782591605564,0,0,2
1966,1782591606680,0,0,2
1967,1782591607047,0,0,2
1968,1782591607180,0,0,2
1969,1782591608195,0,0,2
1970,1782591608612,0,0,2
1971,1782591610155,0,0,2
1972,1782591610194,0,0,2
1973,1782591612025,0,0,2
1974,1782591613307,0,0,2
1975,1782591613690,0,0,2
1976,1782591614473,0,0,2
1977,1782591615472,0,0,2
1978,1782591616505,0,0,2
1979,1782591617354,0,0,2
1980,1782591617804,0,0,2
1981,1782591618354,0,0,2
1982,1782591618819,0,0,2
1983,1782591619336,0,0,2
1984,1782591621185,0,0,2
1985,1782591621367,0,0,2
1986,1782591622317,0,0,2
1987,1782591622949,0,0,2
1988,1782591624515,0,0,2
1989,1782591625614,0,0,2
1990,1782591627196,0,0,2
1991,1782591628178,0,0,2
1992,1782591628961,0,0,2
1993,1782591630776,0,0,2
1994,1782591632161,0,0,2
1995,1782591632192,0,0,2
1996,1782591632841,0,0,2
1997,1782591633391,0,0,2
1998,1782591634406,0,0,2
1999,1782591635373,0,0,2
2000,1782591636138,0,0,2
2001,1782591636188,0,0,2
2002,1782591636605,0,0,2
2003,1782591637970,0,0,2
2004,1782591638753,0,0,2
2005,1782591639951,0,0,2
2006,1782591641384,0,0,2
2007,1782591643202,0,0,2
2008,1782591647296,0,0,2
2009,1782591648461,0,0,2
2010,1782591648728,0,0,2
2011,1782591649094,0,0,2
2012,1782591649510,0,0,2
2013,1782591650359,0,0,2
2014,1782591654772,0,0,2
2015,1782591655973,0,0,2
