index,date,SPEED_AVG,STEERING_WHEEL,THROTTLE,BRAKE,5,6,7,8
1217,1762970152322,0,0,0,0,0,0,0,0
1218,1762970152422,0,0,0,0,0,0,0,0
1219,1762970152539,0,0,0,0,0,0,0,0
1220,1762970152655,0,0,0,0,0,0,0,0
1221,1762970152754,0,0,0,0,0,0,0,0
1222,1762970152871,0,0,0,0,0,0,0,0
1223,1762970153005,0,0,0,0,0,0,0,0
1224,1762970153189,0,0,0,0,0,0,0,0
1225,1762970153305,0,0,0,0,0,0,0,0
1226,1762970153422,0,0,0,0,0,0,0,0
1227,1762970153537,0,0,0,0,0,0,0,0
1228,1762970153854,0,0,0,0,0,0,0,0
1229,1762970154188,0,0,0,0,0,0,0,0
1230,1762970154306,0,0,0,0,0,0,0,0
1231,1762970154403,0,0,0,0,0,0,0,0
1232,1762970154519,0,0,0,0,0,0,0,0
1233,1762970154620,0,0,0,0,0,0,0,0
1234,1762970154770,0,0,0,0,0,0,0,0
1235,1762970154870,0,0,0,0,0,0,0,0
1236,1762970154986,0,0,0,0,0,0,0,0
1237,1762970155069,0,0,0,0,0,0,0,0
1238,1762970155186,0,0,0,0,0,0,0,0
1239,1762970155286,0,0,0,0,0,0,0,0
1240,1762970155419,0,0,0,0,0,0,0,0
1241,1762970155519,0,0,0,0,0,0,0,0
1242,1762970155719,0,0,0,0,0,0,0,0
1243,1762970155853,0,0,0,0,0,0,0,0
1244,1762970155952,0,0,0,0,0,0,0,0
1245,1762970156068,0,0,0,0,0,0,0,0
1246,1762970156168,0,0,0,0,0,0,0,0
1247,1762970156285,0,0,0,0,0,0,0,0
1248,1762970156385,0,0,0,0,0,0,0,0
1249,1762970156487,0,0,0,0,0,0,0,0
1250,1762970156618,0,0,0,0,0,0,0,0
1251,1762970156719,0,0,0,0,0,0,0,0
1252,1762970156951,0,0,0,0,0,0,0,0
1253,1762970157152,0,0,0,0,0,0,0,0
1254,1762970157268,0,0,0,0,0,0,0,0
1255,1762970157385,0,0,0,0,0,0,0,0
1256,1762970157601,0,0,0,0,0,0,0,0
1257,1762970158035,0,0,0,0,0,0,0,0
1258,1762970158266,0,0,0,0,0,0,0,0
1259,1762970158917,0,0,0,0,0,0,0,0
1260,1762970159034,0,0,0,0,0,0,0,0
1261,1762970159150,0,0,0,0,0,0,0,0
1262,1762970159583,0,0,0,0,0,0,0,0
1263,1762970159699,0,0,0,0,0,0,0,0
1264,1762970159799,0,0,0,0,0,0,0,0
1265,1762970159998,0,0,0,0,0,0,0,0
1266,1762970160233,0,0,0,0,0,0,0,0
1267,1762970160349,0,0,0,0,0,0,0,0
1268,1762970160482,0,0,0,0,0,0,0,0
1269,1762970160598,0,0,0,0,0,0,0,0
1270,1762970160749,0,0,0,0,0,0,0,0
1271,1762970160831,0,0,0,0,0,0,0,0
1272,1762970160998,0,0,0,0,0,0,0,0
1273,1762970161137,0,0,0,0,0,0,0,0
1274,1762970161245,0,0,0,0,0,0,0,0
1275,1762970161338,0,0,0,0,0,0,0,0
1276,1762970161467,0,0,0,0,0,0,0,0
1277,1762970161599,0,0,0,0,0,0,0,0
