index,date,TEMPERATURE,1,2,3,4,5,6,7
940,1765218683942,847,0,0,0,0,0,0,0
941,1765218686758,-29746,0,0,0,0,0,0,0
942,1765218690874,848,0,0,0,0,0,0,0
943,1765218693309,852,0,0,0,0,0,0,0
944,1765218693491,852,0,0,0,0,0,0,0
945,1765218695760,852,0,0,0,0,0,0,0
946,1765218696774,855,0,0,0,0,0,0,0
947,1765218697493,850,0,0,0,0,0,0,0
948,1765218697943,859,0,0,0,0,0,0,0
949,1765218698643,856,0,0,0,0,0,0,0
950,1765218700575,858,0,0,0,0,0,0,0
951,1765218700707,856,0,0,0,0,0,0,0
952,1765218701476,860,0,0,0,0,0,0,0
953,1765218702259,14679,0,0,0,0,0,0,0
954,1765218702676,857,0,0,0,0,0,0,0
955,1765218704425,857,0,0,0,0,0,0,0
956,1765218705009,856,0,0,0,0,0,0,0
957,1765218705792,860,0,0,0,0,0,0,0
958,1765218706793,858,0,0,0,0,0,0,0
959,1765218707042,858,0,0,0,0,0,0,0
960,1765218708909,18392,0,0,0,0,0,0,0
961,1765218709826,-7726,0,0,0,0,0,0,0
962,1765218711158,862,0,0,0,0,0,0,0
963,1765218712342,862,0,0,0,0,0,0,0
964,1765218712743,858,0,0,0,0,0,0,0
965,1765218713237,860,0,0,0,0,0,0,0
966,1765218717076,862,0,0,0,0,0,0,0
967,1765218717591,860,0,0,0,0,0,0,0
968,1765218720109,866,0,0,0,0,0,0,0
969,1765218720341,858,0,0,0,0,0,0,0
970,1765218721426,862,0,0,0,0,0,0,0
971,1765218723010,864,0,0,0,0,0,0,0
972,1765218723626,868,0,0,0,0,0,0,0
973,1765218725591,860,0,0,0,0,0,0,0
974,1765218733843,862,0,0,0,0,0,0,0
975,1765218734608,870,0,0,0,0,0,0,0
976,1765218735609,862,0,0,0,0,0,0,0
977,1765218737476,864,0,0,0,0,0,0,0
978,1765218740759,862,0,0,0,0,0,0,0
979,1765218741709,868,0,0,0,0,0,0,0
980,1765218743392,872,0,0,0,0,0,0,0
981,1765218746059,872,0,0,0,0,0,0,0
982,1765218746141,879,0,0,0,0,0,0,0
983,1765218749059,879,0,0,0,0,0,0,0
984,1765218749191,877,0,0,0,0,0,0,0
985,1765218749359,870,0,0,0,0,0,0,0
986,1765218749491,885,0,0,0,0,0,0,0
987,1765218749758,879,0,0,0,0,0,0,0
988,1765218750291,885,0,0,0,0,0,0,0
989,1765218751224,888,0,0,0,0,0,0,0
990,1765218751373,881,0,0,0,0,0,0,0
991,1765218752058,881,0,0,0,0,0,0,0
992,1765218752375,877,0,0,0,0,0,0,0
993,1765218752459,870,0,0,0,0,0,0,0
994,1765218752625,870,0,0,0,0,0,0,0
995,1765218752791,875,0,0,0,0,0,0,0
996,1765218752991,876,0,0,0,0,0,0,0
997,1765218753109,870,0,0,0,0,0,0,0
998,1765218753175,875,0,0,0,0,0,0,0
999,1765218753224,879,0,0,0,0,0,0,0
1000,1765218753474,881,0,0,0,0,0,0,0
1001,1765218753557,888,0,0,0,0,0,0,0
1002,1765218753974,885,0,0,0,0,0,0,0
1003,1765218754207,885,0,0,0,0,0,0,0
1004,1765218754308,890,0,0,0,0,0,0,0
1005,1765218754641,866,0,0,0,0,0,0,0
1006,1765218754891,879,0,0,0,0,0,0,0
1007,1765218754958,879,0,0,0,0,0,0,0
1008,1765218755043,878,0,0,0,0,0,0,0
1009,1765218755157,-31883,0,0,0,0,0,0,0
1010,1765218755342,9077,0,0,0,0,0,0,0
1011,1765218756941,887,0,0,0,0,0,0,0
1012,1765218757108,883,0,0,0,0,0,0,0
1013,1765218757692,881,0,0,0,0,0,0,0
1014,1765218758024,883,0,0,0,0,0,0,0
1015,1765218759143,889,0,0,0,0,0,0,0
1016,1765218759308,899,0,0,0,0,0,0,0
1017,1765218759442,891,0,0,0,0,0,0,0
1018,1765218759558,893,0,0,0,0,0,0,0
1019,1765218759826,875,0,0,0,0,0,0,0
1020,1765218759892,880,0,0,0,0,0,0,0
1021,1765218760109,880,0,0,0,0,0,0,0
1022,1765218760258,898,0,0,0,0,0,0,0
1023,1765218760457,888,0,0,0,0,0,0,0
1024,1765218760891,885,0,0,0,0,0,0,0
1025,1765218761674,879,0,0,0,0,0,0,0
1026,1765218762125,887,0,0,0,0,0,0,0
1027,1765218762424,888,0,0,0,0,0,0,0
1028,1765218762557,896,0,0,0,0,0,0,0
1029,1765218762742,895,0,0,0,0,0,0,0
1030,1765218762858,895,0,0,0,0,0,0,0
1031,1765218763125,884,0,0,0,0,0,0,0
1032,1765218763558,895,0,0,0,0,0,0,0
1033,1765218763692,889,0,0,0,0,0,0,0
1034,1765218763858,886,0,0,0,0,0,0,0
1035,1765218764741,889,0,0,0,0,0,0,0
1036,1765218765108,891,0,0,0,0,0,0,0
1037,1765218765191,889,0,0,0,0,0,0,0
1038,1765218765406,893,0,0,0,0,0,0,0
1039,1765218765474,899,0,0,0,0,0,0,0
1040,1765218766324,888,0,0,0,0,0,0,0
1041,1765218766524,895,0,0,0,0,0,0,0
1042,1765218768808,901,0,0,0,0,0,0,0
1043,1765218769308,893,0,0,0,0,0,0,0
1044,1765218769574,889,0,0,0,0,0,0,0
1045,1765218770108,903,0,0,0,0,0,0,0
1046,1765218770907,886,0,0,0,0,0,0,0
1047,1765218771674,897,0,0,0,0,0,0,0
1048,1765218771741,891,0,0,0,0,0,0,0
1049,1765218771841,899,0,0,0,0,0,0,0
1050,1765218787407,901,0,0,0,0,0,0,0
1051,1765218788241,901,0,0,0,0,0,0,0
1052,1765218789725,910,0,0,0,0,0,0,0
1053,1765218790506,908,0,0,0,0,0,0,0
1054,1765218790859,914,0,0,0,0,0,0,0
1055,1765218791024,910,0,0,0,0,0,0,0
1056,1765218791174,912,0,0,0,0,0,0,0
1057,1765218791607,916,0,0,0,0,0,0,0
1058,1765218791791,905,0,0,0,0,0,0,0
1059,1765218792041,899,0,0,0,0,0,0,0
1060,1765218792292,901,0,0,0,0,0,0,0
1061,1765218792891,905,0,0,0,0,0,0,0
1062,1765218793125,908,0,0,0,0,0,0,0
1063,1765218793342,905,0,0,0,0,0,0,0
1064,1765218794608,899,0,0,0,0,0,0,0
1065,1765218797174,908,0,0,0,0,0,0,0
1066,1765218797641,903,0,0,0,0,0,0,0
1067,1765218797940,908,0,0,0,0,0,0,0
1068,1765218798375,912,0,0,0,0,0,0,0
1069,1765218798508,912,0,0,0,0,0,0,0
1070,1765218798658,910,0,0,0,0,0,0,0
1071,1765218798991,910,0,0,0,0,0,0,0
1072,1765218799142,910,0,0,0,0,0,0,0
1073,1765218799358,905,0,0,0,0,0,0,0
1074,1765218799508,905,0,0,0,0,0,0,0
1075,1765218799675,912,0,0,0,0,0,0,0
1076,1765218799908,910,0,0,0,0,0,0,0
1077,1765218800091,912,0,0,0,0,0,0,0
1078,1765218800258,908,0,0,0,0,0,0,0
