index,date,INV_STATE_L_MOTOR,FAILURE_L_MOTOR,ALARM_L_MOTOR,1,2,3,4,5
943,1762968194837,0,0,0,0,0,0,0,0
944,1762968194937,0,0,0,0,0,0,0,0
945,1762968195053,0,0,0,0,0,0,0,0
946,1762968195153,0,0,0,0,0,0,0,0
947,1762968195270,0,0,0,0,0,0,0,0
948,1762968195369,0,0,0,0,0,0,0,0
949,1762968195486,0,0,0,0,0,0,0,0
950,1762968195602,0,0,0,0,0,0,0,0
951,1762968195753,0,0,0,0,0,0,0,0
952,1762968195920,0,0,0,32568,0,0,0,0
953,1762968195985,0,0,0,0,0,0,0,0
954,1762968196053,0,0,0,0,0,0,0,0
955,1762968196136,0,0,0,0,0,0,0,0
956,1762968196268,0,0,0,0,0,0,0,0
957,1762968196370,0,0,0,0,0,0,0,0
958,1762968196468,0,0,0,0,0,0,0,0
959,1762968196585,0,0,0,0,0,0,0,0
960,1762968196718,0,0,0,0,0,0,0,0
961,1762968196818,0,0,0,0,0,0,0,0
962,1762968196936,0,0,0,0,0,0,0,0
963,1762968197052,0,0,0,0,0,0,0,0
964,1762968197135,0,0,0,0,0,0,0,0
965,1762968197251,0,0,0,0,0,0,0,0
966,1762968197353,0,0,0,0,0,0,0,0
967,1762968197472,0,0,0,0,0,0,0,0
968,1762968197585,0,0,0,0,0,0,0,0
969,1762968197700,0,0,0,0,0,0,0,0
970,1762968197801,0,0,0,0,0,0,0,0
971,1762968197918,0,0,0,0,0,0,0,0
972,1762968198035,0,0,0,0,0,0,0,0
973,1762968198135,0,0,0,0,0,0,0,0
974,1762968198234,0,0,0,0,0,0,0,0
975,1762968198351,0,0,0,0,0,0,0,0
976,1762968198450,0,0,0,0,0,0,0,0
977,1762968198568,0,0,0,0,0,0,0,0
978,1762968198683,0,0,0,0,0,0,0,0
979,1762968199016,0,0,0,0,0,0,0,0
980,1762968199116,0,0,0,3.31,0,0,0,0
981,1762968199333,0,0,0,0,0,0,0,0
982,1762968199449,0,0,0,0,0,0,0,0
983,1762968199567,0,0,0,3.31,0,0,0,0
984,1762968199684,0,0,0,0,0,0,0,0
985,1762968199799,0,0,0,0,0,0,0,0
986,1762968199915,0,0,0,0,0,0,0,0
987,1762968200117,0,0,0,0,0,0,0,0
988,1762968200332,0,0,0,0,0,0,0,0
989,1762968200448,0,0,0,0,0,0,0,0
990,1762968200582,0,0,0,0,0,0,0,0
991,1762968200666,0,0,0,0,0,0,0,0
992,1762968200833,0,0,0,0,0,0,0,0
993,1762968200967,0,0,0,0,0,0,0,0
994,1762968200998,0,0,0,0,0,0,0,0
995,1762968201098,0,0,0,0,0,0,0,0
996,1762968201198,0,0,0,0,0,0,0,0
997,1762968201314,0,0,0,0,0,0,0,0
998,1762968201432,0,0,0,0,0,0,0,0
999,1762968201665,0,0,0,3.32,0,0,0,0
1000,1762968201898,0,0,0,0,0,0,0,0
